Year	Region	Vocation	Vehicle	Sales [veh]	Stock [veh]	 Travel [mi]	 Energy [mi]
2015	1	agricultural	VCC 22601 (DSL T6 Ag)	0.0	4.157146332181542	21422.860864870177	2373.8602956892037
2015	1	commercial	VCC 21400 (GAS LHD1)	30.597793925284652	767.2163969726114	1.4699693779612426e7	1439745.1773705662
2015	1	commercial	VCC 24724 (NG T7 SWCVng)	2.927619731861355	72.06422059610756	1397826.5550358708	882255.9816051451
2015	1	industrial	VCC 21400 (GAS LHD1)	12.725624566839832	363.59172557988086	7557380.231100382	740383.6566147387
2015	1	industrial	VCC 22400 (DSL LHD1)	56.49631467601419	2179.878644931784	4.429447736374765e7	2174577.1052221693
2015	2	agricultural	VCC 22601 (DSL T6 Ag)	0.0	0.6006924693315896	3278.058812011876	369.46521022188267
2015	2	commercial	VCC 21400 (GAS LHD1)	244.22072159227451	1181.661592085775	2.2913921582780223e7	2244832.1340767173
2015	2	commercial	VCC 24724 (NG T7 SWCVng)	26.433659632552736	121.09942610886391	2381243.2387891733	2564813.7864790084
2015	2	industrial	VCC 21400 (GAS LHD1)	101.57141466285258	436.45300792109964	9155410.602054315	896817.2417128313
2015	2	industrial	VCC 22400 (DSL LHD1)	450.91306631232015	1759.4105465236757	3.694288237645188e7	1798957.027981975
2016	1	agricultural	VCC 22601 (DSL T6 Ag)	0.0	4.115574868859727	19814.135086278584	2195.506276009658
2016	1	commercial	VCC 21400 (GAS LHD1)	153.18444447130997	912.7286774741954	1.7134208217585832e7	1668402.4192391739
2016	1	commercial	VCC 24724 (NG T7 SWCVng)	13.323625961123316	84.66720435126979	1595886.0803086383	1033673.4656807745
2016	1	industrial	VCC 21400 (GAS LHD1)	63.709420827683736	423.66522915176586	8584252.250007257	837149.812613111
2016	1	industrial	VCC 22400 (DSL LHD1)	282.8426303398834	2440.922488822349	4.8087630740440175e7	2340285.919703703
2016	2	agricultural	VCC 22601 (DSL T6 Ag)	0.0	0.5946855446382736	3021.919585782842	340.5791977094551
2016	2	commercial	VCC 21400 (GAS LHD1)	167.41273011985734	1337.2577062847743	2.4742809636496603e7	2413498.4454425056
2016	2	commercial	VCC 24724 (NG T7 SWCVng)	16.655799546273755	136.54423139404904	2548195.0823591393	2585782.347078896
2016	2	industrial	VCC 21400 (GAS LHD1)	69.62696580682616	501.7154436487148	1.0125185304757856e7	987630.0602361009
2016	2	industrial	VCC 22400 (DSL LHD1)	309.0998462270427	2050.9162872854818	4.164992752360019e7	2008788.7669748382
2017	1	agricultural	VCC 22601 (DSL T6 Ag)	0.0	4.07441912017113	18854.09357115735	2088.9154735416123
2017	1	commercial	VCC 21400 (GAS LHD1)	161.43117034647307	1065.0325610459265	1.9505051520532902e7	1883949.6650306124
2017	1	commercial	VCC 24724 (NG T7 SWCVng)	14.067813388196813	97.88834569595393	1793522.2107197708	1059339.6445833943
2017	1	industrial	VCC 21400 (GAS LHD1)	67.13923469682433	486.56781155707256	9547087.448273182	924619.6241842689
2017	1	industrial	VCC 22400 (DSL LHD1)	298.0696349685061	2714.5828989026318	5.167039496329224e7	2486331.8015284794
2017	2	agricultural	VCC 22601 (DSL T6 Ag)	0.0	0.588738689191891	2805.782877621398	316.19799721385226
2017	2	commercial	VCC 21400 (GAS LHD1)	121.41901680702601	1445.304146028953	2.544599964582122e7	2470438.0160283516
2017	2	commercial	VCC 24724 (NG T7 SWCVng)	12.209930616519786	147.3887196966283	2611359.9825735223	2456267.7433375125
2017	2	industrial	VCC 21400 (GAS LHD1)	50.49817731872433	547.196466530952	1.0774619095020628e7	1046186.3331220133
2017	2	industrial	VCC 22400 (DSL LHD1)	224.18008115772986	2254.5872055703567	4.4742037204674944e7	2139058.208655025
2018	1	agricultural	VCC 22601 (DSL T6 Ag)	0.0	4.033674928969418	18435.700633934426	2042.3068371586007
2018	1	commercial	VCC 21400 (GAS LHD1)	278.8702629611096	1333.2524983965768	2.458279522682497e7	2326441.644926395
2018	1	commercial	VCC 24724 (NG T7 SWCVng)	23.325462500359777	120.23492473935416	2204163.478187327	1390608.891101141
2018	1	industrial	VCC 21400 (GAS LHD1)	115.98216126604363	597.6842947075454	1.1619204473920567e7	1105493.401082066
2018	1	industrial	VCC 22400 (DSL LHD1)	514.9114769724874	3202.348546886093	6.041188909718715e7	2830514.4092516843
2018	2	agricultural	VCC 22601 (DSL T6 Ag)	0.0	0.5828513022999721	2683.78104770626	302.413724460478
2018	2	commercial	VCC 21400 (GAS LHD1)	149.6167217796841	1580.4678263483472	2.6990115355970606e7	2593376.2540482264
2018	2	commercial	VCC 24724 (NG T7 SWCVng)	14.50030544244197	160.415137942104	2747724.7682071174	2526542.7405337766
2018	2	industrial	VCC 21400 (GAS LHD1)	62.225604735804744	603.9501066014471	1.157152845319805e7	1112485.064887141
2018	2	industrial	VCC 22400 (DSL LHD1)	276.2424675420696	2508.283801056723	4.839969140282853e7	2274258.556498145
2019	1	agricultural	VCC 22601 (DSL T6 Ag)	0.0	3.922002637315397	17489.812102597723	1937.672988635898
2019	1	commercial	VCC 21400 (GAS LHD1)	24.18073690294455	1343.2023427645856	2.2788124893078297e7	2156786.4634340876
2019	1	commercial	VCC 24724 (NG T7 SWCVng)	2.0488513913711865	120.98400831880015	2043363.3243932559	1276580.180137794
2019	1	industrial	VCC 21400 (GAS LHD1)	10.056770118080976	601.1035731626502	1.1220888526219642e7	1066220.1884566308
2019	1	industrial	VCC 22400 (DSL LHD1)	44.64778589760329	3207.262011684711	5.815337484949471e7	2718773.710897037
2019	2	agricultural	VCC 22601 (DSL T6 Ag)	0.0	0.5758252573222439	2621.3366530346316	295.38483125133985
2019	2	commercial	VCC 21400 (GAS LHD1)	127.51347525338446	1692.0869949466994	2.7920212593725633e7	2664479.4238587148
2019	2	commercial	VCC 24724 (NG T7 SWCVng)	12.569676137764434	171.36913399304902	2832455.5534650744	2459845.054634158
2019	2	industrial	VCC 21400 (GAS LHD1)	53.03286299872189	650.9067756199362	1.2036764370746186e7	1148841.1600139262
2019	2	industrial	VCC 22400 (DSL LHD1)	235.43248811012924	2718.4142558733697	5.0731267378203265e7	2354008.8818179327
2020	1	agricultural	VCC 22601 (DSL T6 Ag)	0.0	3.8060059947816844	15435.116561068076	1710.5500405479704
2020	1	commercial	VCC 21400 (GAS LHD1)	172.59435577126092	1500.8448117959235	2.524126744074314e7	2368673.930372911
2020	1	commercial	VCC 24724 (NG T7 SWCVng)	14.60735743582676	134.23290121203402	2243399.45673312	1302984.9061948073
2020	1	industrial	VCC 21400 (GAS LHD1)	71.78200429683824	665.8036014162918	1.2249681614452092e7	1154491.156920252
2020	1	industrial	VCC 22400 (DSL LHD1)	318.68161669607343	3482.3476244863873	6.235786424854843e7	2877105.5027846657
2020	2	agricultural	VCC 22601 (DSL T6 Ag)	0.0	0.5590583553574056	2462.778738559853	277.58041036240616
2020	2	commercial	VCC 21400 (GAS LHD1)	154.33225677048276	1823.48385510463	2.9466124707295828e7	2791864.0717756595
2020	2	commercial	VCC 24724 (NG T7 SWCVng)	15.255707386897752	184.45667874574093	2981878.615887121	2414477.224541974
2020	2	industrial	VCC 21400 (GAS LHD1)	64.18679605936292	706.6293251146766	1.2871747428305058e7	1219750.8907970507
2020	2	industrial	VCC 22400 (DSL LHD1)	284.94892108325666	2967.4384653298507	5.454536886439173e7	2499972.397047284
